code,res
E06000003,82
E07000040,109
E07000090,102
E07000214,126
E07000229,72
E08000001,143
E08000009,206
E08000016,209
E08000032,356
E09000003,226
E09000018,213
E09000032,147
E09000033,67
S12000045,54
W06000023,218
E07000006,76
E07000067,135
E07000094,152
E07000125,49
E07000155,81
E07000169,50
E07000187,150
E07000203,84
E07000234,103
E08000037,167
E09000024,101
S12000039,34
W06000002,151
W06000009,333
E06000038,130
E07000010,92
E07000031,65
E07000079,123
E07000096,136
E07000099,105
E07000145,83
E07000189,174
E07000235,40
E08000015,164
E08000021,141
N09000005,159
S12000020,34
S12000026,52
W06000024,113
E06000004,85
E06000021,189
E06000030,361
E07000026,65
E07000032,70
E07000069,82
E07000119,66
E07000140,66
E07000168,85
E07000212,74
E08000011,88
E09000020,66
E09000026,138
N09000008,245
S12000021,52
E06000005,82
E06000051,214
E07000072,69
E07000074,36
E07000088,118
E07000095,54
E07000154,235
E07000221,120
E07000238,116
E07000239,113
E07000240,166
E09000016,96
E09000019,87
S12000018,20
S12000038,69
E06000054,637
E07000012,131
E07000034,108
E07000035,68
E07000080,116
E07000110,121
E07000130,68
E07000146,99
E07000171,90
E07000198,115
E08000030,183
E09000007,95
E09000013,67
S12000035,20
S12000040,107
E06000013,95
E06000025,433
E06000026,194
E06000040,119
E06000059,276
E07000027,59
E07000063,46
E07000077,80
E07000086,159
E07000122,34
E07000200,69
E08000027,214
E08000029,202
W06000013,218
E06000019,140
E06000049,368
E07000039,90
E07000076,119
E07000102,63
E07000135,49
E07000167,34
E07000180,114
E08000018,215
E08000026,248
E08000034,305
E09000030,110
S12000011,46
W06000008,84
W06000010,317
E06000008,64
E06000039,101
E07000008,46
E07000030,24
E07000137,94
E07000142,90
E07000199,54
E07000224,118
E07000246,196
E08000014,154
E09000002,54
E09000005,121
E09000011,126
W06000005,161
W06000020,276
E06000046,100
E06000052,357
E07000042,86
E07000085,110
E07000093,134
E07000108,39
E07000111,118
E07000114,53
E07000124,50
E07000193,112
E07000211,118
E07000220,98
E07000236,84
E08000022,214
E08000024,133
E06000009,86
E06000022,279
E06000055,127
E07000033,86
E07000038,100
E07000064,39
E07000123,80
E07000197,101
E07000207,123
E08000012,211
E09000028,64
E09000031,90
N09000006,179
S12000019,21
W06000016,547
E06000043,157
E06000057,232
E07000011,144
E07000089,85
E07000120,31
E07000141,182
E07000178,52
E07000209,103
E09000010,111
N09000002,476
S12000017,63
S12000033,70
S12000047,241
W06000015,815
W06000021,214
E06000002,75
E06000020,154
E07000004,242
E07000036,76
E07000121,72
E07000131,48
E07000219,116
E07000244,180
E07000245,139
E08000004,92
E09000021,144
E09000025,100
S12000010,40
S12000027,2
W06000019,285
E06000011,206
E06000036,78
E06000041,156
E06000042,210
E07000087,81
E07000103,86
E07000136,46
E07000152,97
E07000202,152
E07000213,74
E07000223,31
N09000010,252
N09000011,281
W06000004,188
W06000018,608
E06000014,93
E07000028,45
E07000029,40
E07000062,29
E07000065,92
E07000075,73
E07000113,55
E07000156,86
E07000166,27
E07000188,115
E07000210,63
E07000237,52
E08000035,511
S12000013,10
S12000029,151
E06000023,530
E06000050,283
E07000061,62
E07000070,206
E07000118,89
E07000139,105
E07000179,145
E07000181,82
E07000196,90
E08000007,217
E08000023,91
E08000031,167
E09000014,120
S12000028,37
S12000050,215
E06000015,175
E07000005,146
E07000046,45
E07000081,110
E07000098,78
E07000143,85
E07000144,116
E07000150,63
E07000172,61
E07000174,55
E08000002,112
E09000027,138
S12000006,37
W06000014,307
W06000022,369
E06000016,136
E06000024,256
E06000027,87
E06000058,240
E07000037,113
E07000106,54
E07000107,94
E07000133,25
E07000163,40
E07000216,127
E07000241,64
E08000017,205
E09000012,89
S12000034,104
W06000006,140
E06000012,63
E06000033,122
E07000041,80
E07000043,58
E07000112,35
E07000117,28
E07000132,100
E07000165,147
E07000222,164
E08000003,244
N09000001,320
S12000008,78
S12000014,107
S12000030,56
S12000042,45
E06000045,163
E07000007,133
E07000129,51
E07000151,86
E07000170,82
E07000217,105
E08000006,107
E08000019,360
E08000033,164
E09000008,158
E09000022,88
E09000029,169
N09000004,271
N09000009,192
W06000012,422
E06000056,281
E07000078,236
E07000082,238
E07000105,104
E07000126,83
E07000138,60
E07000148,128
E07000149,132
E07000177,106
E07000225,61
E07000227,133
E08000025,509
E08000028,144
E08000036,226
N09000003,590
E06000001,34
E06000010,112
E06000017,18
E07000047,53
E07000066,134
E07000068,54
E07000091,147
E07000092,82
E07000153,84
E07000164,43
E08000010,220
E09000006,159
E09000015,165
S12000041,52
W06000003,126
E06000032,149
E06000044,179
E07000073,68
E07000173,69
E07000175,67
E07000192,102
E07000195,136
E07000228,88
E07000242,134
E09000004,109
E09000023,89
N09000007,280
S12000023,4
S12000036,122
W06000001,71
E06000006,101
E06000034,116
E07000109,61
E07000115,79
E07000127,92
E07000134,42
E07000147,63
E07000194,89
E07000208,47
E07000226,58
E08000005,146
E08000008,171
E09000009,150
S12000049,164
E06000007,142
E06000018,105
E06000031,191
E06000035,139
E07000009,80
E07000045,88
E07000083,162
E07000128,116
E07000215,70
E07000218,37
E07000243,49
E08000013,120
S12000005,41
S12000048,35
W06000011,327
E06000037,194
E06000047,332
E07000044,56
E07000071,136
E07000084,138
E07000116,110
E07000176,65
E09000017,149
