code,res
E06000003,116
E07000040,134
E07000090,85
E07000214,106
E07000229,70
E08000001,102
E08000009,177
E08000016,201
E08000032,282
E09000003,247
E09000018,161
E09000032,97
E09000033,73
S12000045,72
W06000023,121
E07000006,72
E07000067,81
E07000094,164
E07000125,67
E07000155,72
E07000169,42
E07000187,146
E07000203,72
E07000234,83
E08000037,147
E09000024,95
S12000039,47
W06000002,65
W06000009,146
E06000038,115
E07000010,64
E07000031,49
E07000079,86
E07000096,113
E07000099,87
E07000145,69
E07000189,149
E07000235,39
E08000015,164
E08000021,196
N09000005,89
S12000020,33
S12000026,66
W06000024,70
E06000004,109
E06000021,177
E06000030,368
E07000026,88
E07000032,79
E07000069,52
E07000119,52
E07000140,39
E07000168,50
E07000212,63
E08000011,102
E09000020,48
E09000026,132
N09000008,79
S12000021,63
E06000005,92
E06000051,174
E07000072,52
E07000074,45
E07000088,104
E07000095,53
E07000154,172
E07000221,81
E07000238,109
E07000239,96
E07000240,132
E09000016,102
E09000019,70
S12000018,21
S12000038,64
E06000054,636
E07000012,109
E07000034,98
E07000035,61
E07000080,89
E07000110,120
E07000130,86
E07000146,110
E07000171,78
E07000198,94
E08000030,169
E09000007,72
E09000013,68
S12000035,39
S12000040,119
E06000013,76
E06000025,362
E06000026,133
E06000040,123
E06000059,315
E07000027,53
E07000063,49
E07000077,72
E07000086,163
E07000122,35
E07000200,46
E08000027,228
E08000029,158
W06000013,120
E06000019,96
E06000049,347
E07000039,47
E07000076,112
E07000102,66
E07000135,29
E07000167,46
E07000180,111
E08000018,239
E08000026,201
E08000034,301
E09000030,66
S12000011,53
W06000008,51
W06000010,125
E06000008,80
E06000039,83
E07000008,48
E07000030,20
E07000137,58
E07000142,75
E07000199,56
E07000224,84
E07000246,185
E08000014,134
E09000002,66
E09000005,78
E09000011,103
W06000005,80
W06000020,155
E06000046,95
E06000052,348
E07000042,60
E07000085,78
E07000093,91
E07000108,44
E07000111,75
E07000114,55
E07000124,50
E07000193,58
E07000211,137
E07000220,74
E07000236,64
E08000022,237
E08000024,215
E06000009,66
E06000022,298
E06000055,105
E07000033,63
E07000038,82
E07000064,40
E07000123,97
E07000197,99
E07000207,122
E08000012,218
E09000028,55
E09000031,76
N09000006,101
S12000019,35
W06000016,304
E06000043,137
E06000057,315
E07000011,118
E07000089,77
E07000120,49
E07000141,122
E07000178,42
E07000209,100
E09000010,129
N09000002,210
S12000017,73
S12000033,67
S12000047,221
W06000015,320
W06000021,97
E06000002,134
E06000020,141
E07000004,208
E07000036,55
E07000121,70
E07000131,60
E07000219,107
E07000244,135
E07000245,99
E08000004,77
E09000021,130
E09000025,103
S12000010,33
S12000027,1
W06000019,180
E06000011,184
E06000036,79
E06000041,157
E06000042,207
E07000087,97
E07000103,63
E07000136,23
E07000152,73
E07000202,119
E07000213,81
E07000223,25
N09000010,126
N09000011,101
W06000004,64
W06000018,313
E06000014,104
E07000028,95
E07000029,76
E07000062,30
E07000065,81
E07000075,104
E07000113,43
E07000156,54
E07000166,25
E07000188,117
E07000210,67
E07000237,47
E08000035,582
S12000013,13
S12000029,225
E06000023,481
E06000050,244
E07000061,47
E07000070,191
E07000118,115
E07000139,118
E07000179,133
E07000181,59
E07000196,85
E08000007,225
E08000023,94
E08000031,117
E09000014,89
S12000028,42
S12000050,219
E06000015,139
E07000005,134
E07000046,45
E07000081,119
E07000098,60
E07000143,88
E07000144,102
E07000150,51
E07000172,48
E07000174,37
E08000002,86
E09000027,119
S12000006,47
W06000014,141
W06000022,262
E06000016,113
E06000024,315
E06000027,89
E06000058,284
E07000037,71
E07000106,56
E07000107,87
E07000133,25
E07000163,42
E07000216,74
E07000241,74
E08000017,184
E09000012,75
S12000034,98
W06000006,47
E06000012,73
E06000033,126
E07000041,80
E07000043,58
E07000112,31
E07000117,25
E07000132,70
E07000165,150
E07000222,134
E08000003,237
N09000001,118
S12000008,58
S12000014,84
S12000030,47
S12000042,72
E06000045,190
E07000007,132
E07000129,33
E07000151,65
E07000170,78
E07000217,109
E08000006,135
E08000019,317
E08000033,152
E09000008,122
E09000022,78
E09000029,149
N09000004,124
N09000009,62
W06000012,246
E06000056,214
E07000078,227
E07000082,165
E07000105,95
E07000126,95
E07000138,60
E07000148,96
E07000149,139
E07000177,79
E07000225,83
E07000227,119
E08000025,449
E08000028,150
E08000036,236
N09000003,239
E06000001,60
E06000010,91
E06000017,15
E07000047,33
E07000066,147
E07000068,52
E07000091,169
E07000092,57
E07000153,62
E07000164,73
E08000010,211
E09000006,132
E09000015,110
S12000041,44
W06000003,36
E06000032,131
E06000044,126
E07000073,82
E07000173,80
E07000175,61
E07000192,78
E07000195,78
E07000228,115
E07000242,124
E09000004,103
E09000023,86
N09000007,108
S12000023,2
S12000036,164
W06000001,37
E06000006,129
E06000034,108
E07000109,56
E07000115,71
E07000127,81
E07000134,49
E07000147,65
E07000194,61
E07000208,45
E07000226,91
E08000005,111
E08000008,123
E09000009,143
S12000049,221
E06000007,163
E06000018,99
E06000031,149
E06000035,142
E07000009,67
E07000045,99
E07000083,148
E07000128,105
E07000215,62
E07000218,48
E07000243,62
E08000013,129
S12000005,27
S12000048,70
W06000011,127
E06000037,222
E06000047,299
E07000044,50
E07000071,127
E07000084,148
E07000116,86
E07000176,83
E09000017,140
