code,res
12F,1278.52
99A,1335.65
42D,1428.58
01W,1466.08
05G,1471.79
00L,1473.72
03W,1482.35
00T,1532.11
03Q,1532.13
01K,1543.58
18C,1551.23
02H,1560.36
11N,1564.96
15M,1565.13
27D,1573.4
01F,1574.39
15N,1588.89
01V,1593.58
01Y,1595.03
15E,1597.62
99C,1599.32
10Q,1602.24
01D,1609.13
03N,1615.25
11J,1618.97
11M,1621.8
07K,1624.85
01X,1628.45
52R,1629.44
14L,1633.15
01T,1634.65
05D,1636.73
13T,1646.79
36J,1671.97
11X,1676.37
92G,1676.43
05Q,1677.5
02E,1687.03
00R,1693.02
00V,1700.08
M2L0M,1701.69
15F,1705.21
84H,1707.48
01H,1718.89
03R,1721.14
00N,1731.34
15C,1732.58
B2M3M,1742.54
26A,1750.55
02A,1754.04
03L,1767.61
04V,1768.3
99F,1777.96
02Q,1779.83
01G,1781.25
00Y,1781.3
78H,1782.8
01E,1792.95
02Y,1792.96
92A,1798.19
03K,1799.11
36L,1819.02
06N,1821.98
00P,1827.14
06K,1833.57
16C,1843.79
05V,1849.19
D9Y0V,1850.68
07H,1871.62
93C,1880.43
70F,1887.09
02X,1890.77
D4U1Y,1891.2
14Y,1894.9
D2P2L,1896.78
01J,1901.36
01A,1910.52
71E,1920.56
97R,1927.38
04C,1929.12
05W,1936.63
99G,1941.95
X2C4Y,1969.74
06L,1970.28
02M,1981.3
04Y,1982.39
00X,1982.87
02P,2006.98
72Q,2016.09
06H,2034.0
15A,2048.86
06Q,2065.19
A3A8R,2077.78
06T,2084.03
W2U3Z,2095.33
02G,2128.27
99E,2151.36
02T,2162.8
91Q,2209.47
M1J4Y,2220.44
09D,2232.61
00Q,2239.46
03H,2334.69
10R,2439.21
07G,2461.43
03F,2820.69
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
