code,res
E06000003,18494
E07000040,9958
E07000090,11414
E07000214,8430
E07000229,8934
E08000001,42613
E08000009,29610
E08000016,34091
E08000032,75623
E09000003,43812
E09000018,34658
E09000032,36952
E09000033,22618
S12000045,12230
W06000023,7841
S12000045,12144
W06000023,7760
S12000045,12046
W06000023,7678
S12000045,11955
W06000023,7515
S12000045,11734
W06000023,7454
S12000045,11734
W06000023,7454
S12000045,11608
W06000023,7342
S12000045,11484
W06000023,7250
S12000045,11322
W06000023,7200
S12000045,11182
W06000023,7127
S12000045,11011
W06000023,6978
S12000045,10873
W06000023,6894
S12000045,10741
W06000023,6894
S12000045,10568
W06000023,6800
S12000045,10390
W06000023,6734
S12000045,10238
W06000023,6635
S12000045,10069
W06000023,6516
S12000045,9941
W06000023,6516
S12000045,9709
W06000023,6433
S12000045,9512
W06000023,6433
S12000045,9268
W06000023,6374
S12000045,9140
W06000023,6293
S12000045,8967
W06000023,6245
S12000045,8781
W06000023,6198
S12000045,8680
W06000023,6081
S12000045,8566
W06000023,6030
S12000045,8462
W06000023,6030
S12000045,8378
W06000023,5956
S12000045,8275
W06000023,5909
S12000045,8210
W06000023,5865
S12000045,8162
W06000023,5851
S12000045,8128
W06000023,5714
S12000045,8095
W06000023,5679
S12000045,8054
W06000023,5679
S12000045,8014
W06000023,5631
S12000045,7985
W06000023,5578
S12000045,7962
W06000023,5578
S12000045,7943
W06000023,5552
S12000045,7931
W06000023,5514
S12000045,7916
W06000023,5486
S12000045,7889
W06000023,5486
S12000045,7868
W06000023,5443
S12000045,7849
W06000023,5413
S12000045,7832
W06000023,5394
S12000045,7807
W06000023,5375
S12000045,7790
W06000023,5312
S12000045,7738
W06000023,5289
S12000045,7738
W06000023,5289
S12000045,7708
W06000023,5252
S12000045,7691
W06000023,5223
S12000045,7689
W06000023,5201
S12000045,7671
W06000023,5164
S12000045,7664
W06000023,5098
S12000045,7646
W06000023,5037
S12000045,7637
W06000023,5037
S12000045,7609
W06000023,5009
S12000045,7586
W06000023,4992
S12000045,7548
W06000023,4959
S12000045,7522
W06000023,4927
S12000045,7480
W06000023,4838
S12000045,7439
W06000023,4785
S12000045,7403
W06000023,4785
S12000045,7366
W06000023,4719
S12000045,7317
W06000023,4684
S12000045,7291
W06000023,4643
S12000045,7249
W06000023,4596
S12000045,7214
W06000023,4542
S12000045,7169
W06000023,4496
S12000045,7133
W06000023,4496
S12000045,7079
W06000023,4465
S12000045,7011
W06000023,4441
S12000045,6935
W06000023,4426
S12000045,6883
W06000023,4396
S12000045,6829
W06000023,4352
S12000045,6768
W06000023,4342
S12000045,6700
W06000023,4342
S12000045,6618
W06000023,4324
S12000045,6496
W06000023,4307
S12000045,6414
W06000023,4297
S12000045,6326
W06000023,4291
S12000045,6265
W06000023,4281
S12000045,6209
W06000023,4275
S12000045,6131
W06000023,4275
S12000045,6081
W06000023,4273
S12000045,6016
W06000023,4264
S12000045,5971
W06000023,4258
S12000045,5916
W06000023,4254
S12000045,5889
W06000023,4243
S12000045,5841
W06000023,4241
S12000045,5808
W06000023,4241
S12000045,5793
W06000023,4230
S12000045,5758
W06000023,4230
S12000045,5726
W06000023,4227
S12000045,5687
W06000023,4227
S12000045,5672
W06000023,4222
S12000045,5644
W06000023,4218
S12000045,5621
W06000023,4218
S12000045,5602
W06000023,4218
S12000045,5589
W06000023,4217
S12000045,5568
W06000023,4214
S12000045,5542
W06000023,4212
S12000045,5528
W06000023,4212
S12000045,5506
W06000023,4210
S12000045,5491
W06000023,4210
S12000045,5467
W06000023,4210
S12000045,5451
W06000023,4209
S12000045,5437
W06000023,4208
S12000045,5421
W06000023,4207
S12000045,5411
W06000023,4207
S12000045,5398
W06000023,4206
S12000045,5381
W06000023,4206
S12000045,5366
W06000023,4205
S12000045,5361
W06000023,4203
S12000045,5355
W06000023,4203
S12000045,5346
W06000023,4203
S12000045,5333
W06000023,4202
S12000045,5315
W06000023,4202
S12000045,5305
W06000023,4202
S12000045,5294
W06000023,4202
S12000045,5283
W06000023,4202
S12000045,5270
W06000023,4201
S12000045,5263
W06000023,4201
S12000045,5262
W06000023,4199
S12000045,5253
W06000023,4197
S12000045,5245
W06000023,4197
S12000045,5236
W06000023,4196
S12000045,5221
W06000023,4194
S12000045,5216
W06000023,4194
S12000045,5213
W06000023,4193
S12000045,5211
W06000023,4192
S12000045,5210
W06000023,4188
S12000045,5206
W06000023,4188
S12000045,5203
W06000023,4186
S12000045,5196
W06000023,4183
